model,skup,f1_mean,f1_std,pr_auc_mean,pr_auc_std
Logisticka regresija,PCA 100,0.189,0.027,0.367,0.057
Stablo odlucivanja,PCA 100,0.34,0.09,0.131,0.066
Random Forest,PCA 100,0.461,0.101,0.492,0.081
Linearni SVM,PCA 100,0.145,0.022,0.315,0.095
KNN,PCA 100,0.402,0.111,0.364,0.099
Naivni Bayes,PCA 100,0.174,0.098,0.205,0.062
Logisticka regresija,selekcija 300,0.206,0.023,0.319,0.102
Stablo odlucivanja,selekcija 300,0.279,0.061,0.088,0.032
Random Forest,selekcija 300,0.498,0.098,0.493,0.107
Linearni SVM,selekcija 300,0.153,0.051,0.406,0.114
KNN,selekcija 300,0.397,0.062,0.355,0.096
Naivni Bayes,selekcija 300,0.147,0.034,0.072,0.026
