model,skup,accuracy,balanced_acc,precision,recall,f1,roc_auc,pr_auc
Logisticka regresija,svi atributi,0.987,0.789,0.362,0.586,0.447,0.958,0.323
Stablo odlucivanja,svi atributi,0.989,0.67,0.357,0.345,0.351,0.67,0.129
Random Forest,svi atributi,0.992,0.688,0.524,0.379,0.44,0.93,0.343
Linearni SVM,svi atributi,0.971,0.866,0.196,0.759,0.312,0.936,0.289
KNN,svi atributi,0.989,0.584,0.278,0.172,0.213,0.786,0.204
Naivni Bayes,svi atributi,0.73,0.744,0.024,0.759,0.047,0.744,0.02
Logisticka regresija,PCA 100,0.926,0.826,0.081,0.724,0.145,0.895,0.221
Stablo odlucivanja,PCA 100,0.986,0.566,0.167,0.138,0.151,0.566,0.031
Random Forest,PCA 100,0.991,0.637,0.471,0.276,0.348,0.922,0.324
Linearni SVM,PCA 100,0.902,0.865,0.07,0.828,0.129,0.92,0.18
KNN,PCA 100,0.99,0.636,0.381,0.276,0.32,0.802,0.22
Naivni Bayes,PCA 100,0.964,0.76,0.13,0.552,0.211,0.845,0.119
Logisticka regresija,selekcija 300,0.943,0.817,0.1,0.69,0.175,0.929,0.215
Stablo odlucivanja,selekcija 300,0.986,0.651,0.243,0.31,0.273,0.651,0.082
Random Forest,selekcija 300,0.989,0.704,0.364,0.414,0.387,0.89,0.324
Linearni SVM,selekcija 300,0.906,0.901,0.078,0.897,0.143,0.934,0.242
KNN,selekcija 300,0.992,0.688,0.55,0.379,0.449,0.786,0.317
Naivni Bayes,selekcija 300,0.92,0.755,0.063,0.586,0.114,0.853,0.052
